PartitionKey,RowKey,CountryCode,Latitude,Longitude,SW_Lat,SW_Lon,NE_Lat,NE_Lon,lat radians,long radians
China,Beijing,CN,39.951334,116.406679,39.77147788,116.172047,40.13119012,116.641311,0.697282319,2.03167982
United States,Zanesville (OH),US,39.984603,-82.022998,39.80474688,-82.25774271,40.16445912,-81.78825329,0.697862972,-1.431571377
United States,Philadelphia (PA),US,39.997409,-75.165534,39.81755288,-75.40032212,40.17726512,-74.93074588,0.698086479,-1.311886052
Turkey,Bursa,TR,40.194764,29.118444,40.01490788,28.8829687,40.37462012,29.3539193,0.701530974,0.508212721
United States,Muncie (IN),US,40.231585,-85.417345,40.05172888,-85.652949,40.41144112,-85.181741,0.702173622,-1.490813909
Spain,Madrid,ES,40.385745,-3.661264,40.20588888,-3.897408345,40.56560112,-3.425119655,0.704864221,-0.063901112
United States,Pittsburgh (PA),US,40.450152,-79.938346,40.27029588,-80.17471683,40.63000812,-79.70197517,0.705988335,-1.395187336
United States,Marion (IN),US,40.513865,-85.667705,40.33400888,-85.90430031,40.69372112,-85.43110969,0.707100337,-1.495183515
United States,Murray Hill (NJ),US,40.66365,-74.44369,40.48379388,-74.68081472,40.84350612,-74.20656528,0.709714578,-1.299287498
United States,New York City (NY),US,40.686882,-73.957825,40.50702588,-74.19503204,40.86673812,-73.72061796,0.710120053,-1.290807554
United States,Lima (OH),US,40.726503,-84.160546,40.54664688,-84.39789358,40.90635912,-83.92319842,0.71081157,-1.468878628
United States,Salt Lake City (UT),US,40.73779,-111.942215,40.55793388,-112.1796026,40.91764612,-111.7048274,0.711008565,-1.953760224
Turkey,Kocaeli,TR,40.769321,29.928058,40.58946488,29.69055836,40.94917712,30.16555764,0.711558885,0.522343151
United States,Canton (OH),US,40.843775,-81.378581,40.66391888,-81.61634551,41.02363112,-81.14081649,0.712858353,-1.420324179
Italy,Naples,IT,40.893458,14.245596,40.71360188,14.00765441,41.07331412,14.48353759,0.713725485,0.248632554
